battery_capacity,current_battery_level,charging_power,temperature,charging_station_type,charging_time_minutes
73,56,157,8,DC_Fast,30.0
69,84,238,16,DC_Fast,30.0
98,23,27,26,AC_Slow,243.2334546017843
94,47,98,18,DC_Fast,34.449369528940544
52,21,249,49,AC_Slow,41.274901407086
52,54,294,17,DC_Fast,30.0
57,26,164,23,AC_Slow,30.067260383001152
71,89,289,-10,DC_Fast,30.0
71,44,13,37,DC_Fast,232.08454251123894
74,75,189,14,AC_Slow,30.0
98,84,299,10,AC_Slow,30.0
78,50,139,23,DC_Fast,30.0
85,76,114,15,AC_Slow,30.0
91,38,73,25,AC_Slow,66.43411138255544
68,27,140,24,AC_Slow,30.0
88,29,100,12,AC_Slow,46.62214196378048
68,23,123,6,DC_Fast,31.95958485412738
92,43,278,36,AC_Slow,38.862890407122066
83,58,342,31,DC_Fast,30.0
96,63,181,1,AC_Slow,30.0
55,40,241,33,DC_Fast,30.0
95,67,276,9,DC_Fast,30.0
83,51,281,28,DC_Fast,30.0
86,67,142,16,DC_Fast,30.0
96,39,136,31,AC_Slow,30.0
49,34,48,26,AC_Slow,42.032543855716355
69,72,127,9,DC_Fast,30.0
64,28,140,41,AC_Slow,30.0
78,81,130,0,AC_Slow,30.0
59,17,279,17,DC_Fast,30.0
44,12,68,-9,AC_Slow,48.445663696513634
40,76,300,13,AC_Slow,30.0
69,26,236,5,AC_Slow,30.0
88,23,55,1,AC_Slow,92.93017286123067
42,18,141,5,DC_Fast,30.0
84,71,162,25,DC_Fast,30.0
53,30,60,-9,AC_Slow,37.575829593215175
95,85,85,14,DC_Fast,30.0
69,46,236,18,DC_Fast,30.0
89,20,330,17,DC_Fast,30.0
43,29,132,-1,DC_Fast,30.0
57,44,130,34,AC_Slow,30.0
76,62,321,12,AC_Slow,30.0
64,56,84,21,AC_Slow,30.0
87,84,337,20,DC_Fast,30.0
40,61,179,8,AC_Slow,30.0
92,17,149,4,AC_Slow,44.20342561223635
85,13,130,44,AC_Slow,30.535982949428167
54,36,186,22,DC_Fast,30.0
48,53,223,49,AC_Slow,30.0
54,49,282,6,DC_Fast,30.0
88,56,87,41,DC_Fast,30.0
96,53,145,25,DC_Fast,30.0
63,57,338,9,DC_Fast,30.0
43,61,99,-2,DC_Fast,30.0
51,77,198,27,AC_Slow,30.0
98,20,114,-8,DC_Fast,53.613160754645044
97,86,56,43,DC_Fast,30.0
76,82,107,-9,DC_Fast,30.0
76,13,105,7,AC_Slow,59.56729948234043
82,85,146,12,AC_Slow,30.0
99,82,205,8,AC_Slow,30.0
45,86,323,-4,AC_Slow,30.0
78,57,203,24,DC_Fast,30.0
95,35,288,49,DC_Fast,30.0
85,86,221,49,AC_Slow,30.0
63,48,50,39,DC_Fast,65.52771949437721
50,67,32,9,AC_Slow,51.049770403593286
52,28,6,9,AC_Slow,513.1143432515065
73,86,21,8,AC_Slow,31.74328556108302
64,86,319,30,DC_Fast,30.0
46,67,81,5,AC_Slow,30.0
91,37,169,27,AC_Slow,30.0
43,75,101,10,DC_Fast,30.0
98,19,109,18,DC_Fast,45.32794598754304
47,86,28,33,DC_Fast,30.0
59,67,204,49,DC_Fast,30.0
68,82,39,27,DC_Fast,32.90125865605454
93,23,6,34,DC_Fast,829.8005684740814
92,24,293,48,AC_Slow,30.0
90,42,336,13,DC_Fast,30.0
84,26,346,26,DC_Fast,30.0
85,33,142,18,DC_Fast,30.0
49,39,341,20,AC_Slow,30.0
82,71,66,34,DC_Fast,30.0
73,22,303,41,AC_Slow,30.0
96,71,201,28,AC_Slow,30.0
65,56,63,1,AC_Slow,30.0
80,25,269,19,AC_Slow,30.0
88,75,337,42,DC_Fast,30.0
97,52,192,-7,DC_Fast,30.0
42,17,67,19,DC_Fast,38.42095427388983
95,12,312,-6,DC_Fast,30.0
45,21,283,5,DC_Fast,30.0
44,25,34,16,DC_Fast,68.32391394303019
44,87,175,-7,AC_Slow,30.0
93,89,25,-3,AC_Slow,42.1399956894613
86,68,303,37,DC_Fast,30.0
62,58,205,-3,DC_Fast,30.0
88,72,139,6,DC_Fast,30.0
48,71,276,35,DC_Fast,30.0
74,58,27,33,DC_Fast,87.77863576838207
59,60,91,-8,DC_Fast,30.0
97,42,35,16,AC_Slow,127.58251859151147
88,39,125,41,AC_Slow,33.03369109865139
98,68,73,23,DC_Fast,35.55940889136414
81,85,138,34,DC_Fast,30.0
74,24,319,10,DC_Fast,30.0
89,32,150,32,AC_Slow,43.4792279374018
57,87,337,13,AC_Slow,30.0
56,54,267,33,AC_Slow,30.0
63,71,297,39,AC_Slow,30.0
42,88,90,30,AC_Slow,30.0
71,80,20,18,DC_Fast,47.649915744114544
74,24,220,28,DC_Fast,30.0
77,55,120,-5,AC_Slow,34.49290517659145
52,73,122,45,DC_Fast,30.0
95,55,274,3,AC_Slow,30.0
86,65,347,39,AC_Slow,30.0
64,53,166,3,AC_Slow,30.0
48,84,192,26,DC_Fast,30.0
43,38,108,41,DC_Fast,30.0
53,71,145,13,DC_Fast,30.0
76,61,171,2,DC_Fast,38.49818666959934
73,63,304,-10,DC_Fast,30.0
50,66,32,1,AC_Slow,35.663076603907086
80,75,276,40,AC_Slow,30.0
95,31,54,31,AC_Slow,96.60317075883218
42,29,160,13,DC_Fast,30.0
98,42,328,26,DC_Fast,30.0
67,81,125,9,DC_Fast,30.0
68,34,144,-5,AC_Slow,40.69791335488968
48,55,20,1,AC_Slow,91.34504629752405
42,82,313,10,AC_Slow,30.0
64,66,53,-8,DC_Fast,30.07460225569283
73,14,168,16,DC_Fast,35.41103247148614
51,64,66,35,AC_Slow,30.0
81,70,344,42,AC_Slow,30.0
48,17,158,25,AC_Slow,31.530827062689426
54,25,316,6,AC_Slow,30.0
79,57,154,38,DC_Fast,30.0
64,70,77,35,AC_Slow,30.0
44,24,73,4,DC_Fast,37.12396323799431
50,74,181,28,DC_Fast,30.0
98,31,6,-7,DC_Fast,808.4636805143355
73,12,313,6,DC_Fast,30.0
63,63,123,27,DC_Fast,30.0
99,23,11,0,AC_Slow,548.7770081510512
54,45,259,1,DC_Fast,30.0
77,76,79,36,AC_Slow,30.0
47,19,199,21,AC_Slow,30.0
98,58,191,16,DC_Fast,30.0
44,74,7,33,AC_Slow,126.29899429180152
87,66,188,32,AC_Slow,30.0
65,36,339,16,AC_Slow,30.0
57,84,277,38,AC_Slow,30.0
45,14,56,29,DC_Fast,42.21107563231291
76,80,267,33,AC_Slow,30.0
99,66,137,18,AC_Slow,30.0
87,24,229,-2,DC_Fast,30.0
52,85,314,32,DC_Fast,30.0
67,39,65,-8,DC_Fast,31.372626337174868
44,29,20,28,DC_Fast,119.81763628621889
52,46,233,18,DC_Fast,30.0
56,12,199,10,AC_Slow,44.637832898125126
89,82,255,24,DC_Fast,30.0
79,50,307,42,AC_Slow,30.0
84,48,52,37,DC_Fast,74.63171533061211
71,35,239,-1,AC_Slow,30.0
68,11,125,12,AC_Slow,42.58045021771022
90,32,324,28,DC_Fast,30.0
97,32,54,14,AC_Slow,115.16848119579785
42,25,45,13,DC_Fast,48.690733108178875
95,18,26,9,AC_Slow,235.38555640735734
79,22,186,4,DC_Fast,34.814796610169516
73,37,9,10,AC_Slow,408.57704878746273
79,36,149,42,AC_Slow,30.0
66,60,82,31,DC_Fast,30.0
52,73,235,1,DC_Fast,30.0
84,61,301,7,DC_Fast,30.0
72,47,213,49,DC_Fast,30.0
45,74,167,12,DC_Fast,30.0
63,27,172,44,DC_Fast,30.0
58,72,282,30,DC_Fast,30.0
55,60,241,18,DC_Fast,30.0
79,18,180,30,DC_Fast,30.188183576972015
67,22,57,25,DC_Fast,52.38506889018682
72,49,14,-6,AC_Slow,218.9207606393968
98,64,150,28,AC_Slow,30.0
98,88,231,15,DC_Fast,30.0
87,52,240,28,DC_Fast,30.0
80,53,246,0,AC_Slow,30.0
52,77,309,31,DC_Fast,30.0
82,42,75,0,AC_Slow,56.37658567874737
84,33,162,45,AC_Slow,35.69522577640512
64,45,23,45,AC_Slow,132.8895076133564
92,19,59,7,AC_Slow,102.17086125910085
81,29,219,1,AC_Slow,30.0
75,84,213,46,DC_Fast,30.0
66,21,25,5,AC_Slow,167.96158495698097
77,71,286,16,DC_Fast,30.0
99,27,253,25,AC_Slow,30.0
46,72,32,6,AC_Slow,30.0
44,34,300,38,AC_Slow,30.0
82,21,215,10,DC_Fast,34.67279081245529
84,30,289,44,AC_Slow,30.0
97,34,24,26,AC_Slow,224.99771962377696
96,20,24,20,DC_Fast,225.0405996877652
90,73,334,34,DC_Fast,30.0
70,82,124,24,AC_Slow,30.0
62,59,101,16,AC_Slow,37.61506598245701
81,71,124,12,AC_Slow,30.0
49,58,29,21,DC_Fast,53.49215938555126
71,23,157,6,AC_Slow,30.397777670312113
82,10,249,0,DC_Fast,30.0
92,34,264,-10,AC_Slow,30.0
69,68,8,17,DC_Fast,194.87939562043817
78,81,147,7,DC_Fast,30.0
70,78,286,38,AC_Slow,30.0
57,14,339,30,AC_Slow,30.0
75,28,224,9,DC_Fast,30.0
41,32,331,-4,AC_Slow,30.0
53,18,164,26,DC_Fast,30.0
52,59,80,5,DC_Fast,30.0
68,25,103,28,AC_Slow,30.0
51,42,184,34,DC_Fast,30.0
78,11,131,34,AC_Slow,43.23281932323191
41,23,36,36,DC_Fast,71.0535241593612
71,10,269,12,AC_Slow,30.0
52,67,338,21,AC_Slow,30.0
85,25,17,38,AC_Slow,297.705006162184
66,88,343,6,DC_Fast,30.0
88,56,206,48,AC_Slow,30.0
80,53,22,8,DC_Fast,132.03799877610413
56,89,97,31,DC_Fast,30.0
79,23,284,23,AC_Slow,30.0
70,33,320,3,DC_Fast,30.0
73,64,64,44,AC_Slow,42.70289233111023
99,24,218,-8,DC_Fast,30.0
63,81,104,28,DC_Fast,30.0
84,43,5,14,AC_Slow,746.7849031045833
74,11,47,49,AC_Slow,100.11508534279497
87,36,315,0,DC_Fast,30.0
45,83,172,38,AC_Slow,30.0
58,81,196,4,AC_Slow,30.0
69,32,38,8,DC_Fast,101.11651171136309
46,77,38,32,AC_Slow,44.38327632325506
49,23,180,4,DC_Fast,30.0
80,72,200,4,AC_Slow,30.0
71,74,162,27,AC_Slow,30.0
73,77,249,4,DC_Fast,30.0
67,72,344,-2,DC_Fast,30.0
99,73,339,-6,AC_Slow,30.0
54,41,75,8,AC_Slow,53.22437843838749
69,88,331,13,DC_Fast,30.0
76,22,118,18,AC_Slow,35.55225356047937
68,75,289,49,AC_Slow,30.0
61,28,147,-6,AC_Slow,33.92396735435908
43,33,101,11,AC_Slow,30.0
59,20,313,2,DC_Fast,30.0
71,68,324,39,AC_Slow,30.0
75,24,216,41,DC_Fast,30.0
89,19,321,38,DC_Fast,30.0
43,50,189,36,AC_Slow,30.0
66,36,209,35,DC_Fast,30.0
56,69,220,18,AC_Slow,30.0
51,82,250,5,AC_Slow,30.0
61,61,243,25,DC_Fast,30.0
56,37,297,6,DC_Fast,30.0
49,74,12,9,DC_Fast,75.57496515924149
93,26,82,3,AC_Slow,65.65975936709184
40,53,328,39,AC_Slow,30.0
61,19,281,-5,AC_Slow,30.0
65,72,206,11,DC_Fast,30.0
95,56,218,29,DC_Fast,30.0
98,47,98,-2,DC_Fast,47.26578287495175
57,79,79,21,DC_Fast,30.0
89,85,161,13,DC_Fast,30.0
53,62,157,22,AC_Slow,30.0
86,87,146,2,AC_Slow,30.0
68,53,82,24,DC_Fast,30.0
51,83,326,-5,DC_Fast,30.0
75,63,186,38,DC_Fast,30.0
98,29,199,29,DC_Fast,30.0
74,88,162,19,AC_Slow,30.0
91,40,150,27,DC_Fast,38.74384205555644
51,16,58,5,DC_Fast,63.57464945428747
46,67,281,-10,DC_Fast,30.0
68,19,313,31,AC_Slow,30.0
50,19,87,7,AC_Slow,39.013390050035454
72,48,160,11,DC_Fast,30.0
45,37,8,15,AC_Slow,282.8960207500926
86,39,315,3,DC_Fast,30.0
54,46,275,45,DC_Fast,30.0
71,76,68,26,DC_Fast,30.0
90,52,116,38,AC_Slow,30.0
50,88,243,3,DC_Fast,30.0
97,61,148,15,DC_Fast,30.0
62,65,24,39,AC_Slow,70.34217094884313
65,85,68,25,AC_Slow,30.0
73,77,293,41,DC_Fast,30.0
85,18,85,12,DC_Fast,68.94641610508803
73,32,201,-9,AC_Slow,30.0
68,72,73,28,AC_Slow,30.0
43,70,190,-4,AC_Slow,30.0
56,49,171,28,DC_Fast,30.0
74,53,209,34,DC_Fast,30.0
52,33,168,40,AC_Slow,30.0
80,60,98,11,AC_Slow,30.0
78,67,253,17,DC_Fast,30.0
54,42,72,27,AC_Slow,30.0
94,25,347,9,DC_Fast,30.0
68,31,25,38,DC_Fast,147.89835744840775
68,66,323,46,DC_Fast,30.0
50,71,89,7,AC_Slow,30.0
91,80,28,46,DC_Fast,42.273169211083896
71,81,115,13,AC_Slow,30.0
41,79,87,22,AC_Slow,30.0
86,39,82,48,AC_Slow,58.2839126184029
53,32,144,44,AC_Slow,30.0
59,41,275,34,DC_Fast,30.0
61,66,343,15,DC_Fast,30.0
50,18,173,8,DC_Fast,30.0
66,40,201,37,AC_Slow,30.0
42,80,266,31,DC_Fast,30.0
56,18,219,2,DC_Fast,30.0
83,22,71,-1,DC_Fast,64.83902548863213
95,67,233,3,DC_Fast,30.0
67,12,165,-2,AC_Slow,30.0
68,44,126,42,AC_Slow,30.0
60,30,153,0,DC_Fast,30.0
86,73,344,-8,AC_Slow,30.0
55,61,197,29,AC_Slow,30.0
76,43,235,1,AC_Slow,30.0
98,44,115,24,DC_Fast,33.74844523967442
59,24,149,28,DC_Fast,30.0
45,15,225,35,AC_Slow,30.0
58,41,68,28,AC_Slow,30.0
96,61,130,21,AC_Slow,30.0
44,37,222,28,AC_Slow,30.0
42,73,288,3,DC_Fast,30.0
98,88,240,33,AC_Slow,30.0
40,87,17,-10,DC_Fast,30.0
97,28,157,16,AC_Slow,30.0
99,24,243,26,DC_Fast,33.182122239545514
77,15,194,49,AC_Slow,34.63996267319466
54,82,155,32,DC_Fast,30.0
73,47,90,-10,DC_Fast,52.83836595900377
74,35,25,44,AC_Slow,174.3595876250819
88,60,186,34,AC_Slow,30.0
64,82,323,18,DC_Fast,30.0
63,62,162,13,DC_Fast,30.0
51,65,80,44,AC_Slow,30.0
57,68,333,6,AC_Slow,30.0
54,79,207,24,AC_Slow,30.0
83,87,233,20,AC_Slow,30.0
55,67,156,31,DC_Fast,30.0
66,22,267,21,DC_Fast,30.0
47,52,76,8,DC_Fast,30.0
99,85,229,20,AC_Slow,30.0
85,60,135,28,AC_Slow,33.19896406953231
64,28,32,9,AC_Slow,116.02370450653837
56,30,303,17,DC_Fast,30.0
68,33,101,-8,AC_Slow,39.37698150191724
92,35,50,21,DC_Fast,89.01541464068079
47,54,5,11,AC_Slow,342.6115953391881
54,37,170,33,DC_Fast,30.0
66,38,249,47,DC_Fast,30.0
85,26,223,43,DC_Fast,30.0
89,77,106,31,AC_Slow,30.0
91,53,295,42,AC_Slow,30.0
46,70,208,33,AC_Slow,30.0
42,77,206,4,AC_Slow,30.0
68,83,58,27,DC_Fast,30.0
83,34,284,8,DC_Fast,30.0
92,76,282,20,AC_Slow,30.0
63,11,20,15,AC_Slow,213.9276915718019
99,58,17,-6,AC_Slow,187.47350022302658
97,79,322,46,AC_Slow,30.0
42,35,91,9,DC_Fast,30.0
59,81,82,48,AC_Slow,30.0
85,36,71,-9,DC_Fast,49.13127722241481
54,27,215,10,DC_Fast,30.0
64,63,218,40,DC_Fast,30.0
69,10,189,49,AC_Slow,35.573620268882486
53,70,37,40,AC_Slow,33.831293665838636
46,12,119,25,AC_Slow,39.86848027215425
56,77,279,17,AC_Slow,30.0
83,50,202,9,DC_Fast,33.27424393680316
59,46,147,26,AC_Slow,30.0
75,60,232,28,DC_Fast,30.0
48,24,124,25,AC_Slow,30.0
77,17,28,0,DC_Fast,156.73697339751885
87,47,31,44,DC_Fast,111.0878163561599
96,65,79,46,DC_Fast,36.34313188445785
99,56,245,-8,AC_Slow,30.0
61,19,27,26,DC_Fast,121.8915032445707
93,87,165,9,DC_Fast,30.0
92,58,45,21,AC_Slow,70.6453857768584
92,50,242,36,DC_Fast,30.0
41,39,243,14,AC_Slow,30.0
63,14,60,10,AC_Slow,87.05484246885166
47,80,102,47,DC_Fast,30.0
50,40,150,39,DC_Fast,30.0
52,61,266,5,AC_Slow,30.0
56,32,44,37,DC_Fast,73.28321046682947
47,57,197,31,AC_Slow,30.0
60,49,243,-10,AC_Slow,30.0
57,15,46,12,DC_Fast,71.21521170951615
69,47,226,32,AC_Slow,44.53455058924946
57,50,200,38,DC_Fast,30.0
85,36,292,13,DC_Fast,30.0
86,84,14,36,AC_Slow,84.81209072665061
70,78,239,14,DC_Fast,30.0
77,66,329,-4,DC_Fast,30.0
71,26,269,46,DC_Fast,30.0
50,80,73,47,DC_Fast,30.0
84,56,143,27,DC_Fast,30.0
64,88,223,36,DC_Fast,30.0
72,22,200,36,AC_Slow,30.0
99,20,78,28,DC_Fast,59.04970209470973
77,33,107,24,AC_Slow,30.0
80,82,229,3,AC_Slow,30.0
47,13,127,-2,DC_Fast,30.0
50,55,106,-8,DC_Fast,30.0
61,27,268,27,AC_Slow,30.0
90,52,165,9,AC_Slow,30.0
63,89,237,30,DC_Fast,30.0
80,42,279,22,AC_Slow,30.0
56,19,262,30,AC_Slow,39.36878262511287
51,82,315,33,DC_Fast,30.0
96,68,143,21,AC_Slow,30.0
85,40,231,25,AC_Slow,30.0
71,37,277,15,DC_Fast,30.0
54,69,321,37,DC_Fast,30.0
55,12,90,-6,DC_Fast,42.74899620352376
93,64,295,48,DC_Fast,30.0
61,23,221,38,AC_Slow,30.168172658353576
67,67,70,19,AC_Slow,30.0
59,24,261,6,AC_Slow,30.0
72,11,139,-5,AC_Slow,61.31260077804236
49,33,59,47,AC_Slow,43.35312046573213
79,87,247,4,DC_Fast,30.0
71,73,256,-10,AC_Slow,30.0
89,80,25,2,AC_Slow,55.66105389048793
99,33,311,37,DC_Fast,30.0
72,36,167,23,AC_Slow,30.0
41,46,268,19,AC_Slow,30.0
72,48,72,8,DC_Fast,30.0
72,72,111,44,DC_Fast,30.0
80,88,71,-9,AC_Slow,30.0
52,35,203,42,DC_Fast,30.0
69,74,196,46,AC_Slow,30.0
72,13,6,33,AC_Slow,822.885838309338
52,38,261,1,DC_Fast,30.0
91,10,5,47,AC_Slow,1292.481382597273
65,59,119,29,DC_Fast,30.0
61,20,92,33,DC_Fast,30.0
78,83,201,13,AC_Slow,30.0
41,68,96,0,AC_Slow,30.0
77,71,278,-9,DC_Fast,30.0
78,45,348,-10,DC_Fast,30.0
65,65,164,46,DC_Fast,30.0
85,30,177,47,DC_Fast,30.0
97,22,37,17,AC_Slow,166.97520165239652
89,18,77,-7,DC_Fast,57.10088675284618
54,20,200,30,AC_Slow,30.0
73,84,288,48,DC_Fast,30.0
81,79,91,19,DC_Fast,30.0
94,10,313,49,AC_Slow,30.0
83,79,228,48,AC_Slow,30.0
88,86,48,-4,DC_Fast,31.17863418648094
79,65,340,49,AC_Slow,30.0
50,40,142,11,AC_Slow,30.0
42,46,274,15,AC_Slow,30.0
98,56,40,18,AC_Slow,101.30012721175687
45,87,38,14,DC_Fast,30.0
48,56,92,-1,AC_Slow,30.0
45,78,150,9,DC_Fast,30.0
48,67,20,3,DC_Fast,55.10677137622619
78,45,237,22,DC_Fast,30.0
70,41,45,-6,DC_Fast,61.873054938557914
71,73,259,34,AC_Slow,30.0
80,80,285,-5,DC_Fast,30.0
89,51,130,11,DC_Fast,30.0
51,57,12,49,AC_Slow,151.1668561930448
47,83,344,6,AC_Slow,30.0
47,39,328,4,AC_Slow,30.0
89,30,180,28,DC_Fast,30.0
67,69,232,29,AC_Slow,30.0
59,22,327,17,DC_Fast,30.0
86,10,22,42,DC_Fast,249.50091378331572
98,74,60,-9,DC_Fast,30.0
46,42,39,7,AC_Slow,55.923556431254156
50,47,122,16,DC_Fast,30.0
59,34,286,10,DC_Fast,30.0
55,35,258,12,AC_Slow,30.0
43,86,217,-4,DC_Fast,30.0
45,68,65,41,AC_Slow,30.0
97,42,92,48,AC_Slow,50.365112502931815
61,50,275,37,AC_Slow,30.0
65,39,36,8,AC_Slow,92.98120370284649
42,66,137,-2,AC_Slow,30.0
80,58,68,1,AC_Slow,48.154459098392316
99,57,203,35,DC_Fast,30.0
81,81,260,19,AC_Slow,30.0
53,58,346,-4,DC_Fast,30.0
50,56,159,-9,DC_Fast,30.0
57,65,235,6,DC_Fast,30.0
93,74,305,0,DC_Fast,30.0
51,21,39,39,AC_Slow,78.8004561764106
62,78,30,1,DC_Fast,39.78616413595042
51,15,27,-8,AC_Slow,112.33891243198406
52,74,145,10,DC_Fast,30.0
64,34,289,3,AC_Slow,30.0
84,10,324,4,AC_Slow,30.0
90,41,160,40,DC_Fast,30.0
97,12,117,31,AC_Slow,69.23350161118391
58,58,143,30,AC_Slow,30.0
94,28,213,-1,AC_Slow,30.0
85,69,327,41,AC_Slow,30.0
75,38,90,44,DC_Fast,45.51822725258426
84,59,289,25,DC_Fast,30.0
47,11,64,40,DC_Fast,45.25552815861529
68,82,58,-1,DC_Fast,30.0
94,65,97,6,AC_Slow,30.0
92,26,329,33,DC_Fast,30.0
94,69,269,14,DC_Fast,30.0
71,45,217,16,AC_Slow,30.0
90,70,337,22,AC_Slow,30.0
83,26,14,0,DC_Fast,306.93233820342493
57,58,207,2,DC_Fast,30.0
45,85,200,-10,DC_Fast,30.0
57,69,62,20,AC_Slow,30.0
58,29,260,22,DC_Fast,30.0
61,59,227,10,AC_Slow,30.0
76,12,184,5,AC_Slow,30.0
71,52,39,28,DC_Fast,66.49779897668344
95,66,107,12,AC_Slow,39.83099976599794
80,59,165,-1,AC_Slow,30.0
98,77,204,37,DC_Fast,30.0
42,59,164,22,AC_Slow,30.0
67,46,187,11,AC_Slow,30.0
49,55,140,30,AC_Slow,30.0
90,51,230,-5,DC_Fast,30.0
74,24,247,36,AC_Slow,30.0
68,42,110,25,AC_Slow,30.0
93,89,75,36,AC_Slow,30.0
54,20,81,-1,DC_Fast,30.0
72,29,58,46,DC_Fast,47.22321296298032
46,33,281,5,DC_Fast,30.0
51,73,115,2,DC_Fast,30.0
88,89,228,40,DC_Fast,30.0
69,74,79,47,DC_Fast,30.0
60,82,18,9,DC_Fast,38.70867266035997
70,85,262,-7,AC_Slow,30.0
97,26,193,9,AC_Slow,30.0
63,70,243,11,DC_Fast,30.0
59,24,338,18,DC_Fast,30.0
76,60,308,5,DC_Fast,30.0
43,36,95,32,AC_Slow,30.0
67,83,188,36,AC_Slow,30.0
83,70,21,32,AC_Slow,87.95293250350826
59,67,16,12,AC_Slow,67.93371528236236
99,40,170,19,DC_Fast,30.0
63,21,150,46,AC_Slow,30.0
89,55,286,19,AC_Slow,30.0
88,40,41,32,AC_Slow,102.54085369153238
90,41,74,-8,DC_Fast,51.21068467580767
71,41,173,45,DC_Fast,30.0
80,62,339,13,DC_Fast,30.0
75,70,174,38,AC_Slow,30.0
97,55,257,26,AC_Slow,30.0
92,83,301,2,AC_Slow,30.0
73,89,146,31,DC_Fast,30.0
75,16,277,21,DC_Fast,30.0
41,13,229,26,AC_Slow,30.0
54,61,187,1,AC_Slow,30.0
73,40,225,-3,DC_Fast,30.0
75,84,57,13,AC_Slow,30.0
45,45,122,33,AC_Slow,30.0
78,63,163,5,AC_Slow,30.0
81,63,140,21,DC_Fast,30.0
90,26,81,23,DC_Fast,67.7452574524582
90,84,340,24,DC_Fast,30.0
97,39,49,21,DC_Fast,79.9874483380411
93,31,22,39,DC_Fast,215.4408790952923
51,52,209,6,DC_Fast,30.0
42,36,328,-9,DC_Fast,30.0
84,46,87,15,DC_Fast,45.287641900646136
57,55,54,43,DC_Fast,30.11837648553883
79,44,285,33,AC_Slow,34.410147097982
60,13,170,6,AC_Slow,30.0
54,89,247,27,AC_Slow,30.0
72,89,168,38,AC_Slow,30.0
74,35,328,-9,DC_Fast,30.0
65,28,60,-3,AC_Slow,70.35249167367277
47,54,43,35,AC_Slow,35.71140266197219
75,35,323,-5,AC_Slow,30.0
87,31,132,-2,DC_Fast,37.682598002141944
69,67,126,-10,AC_Slow,30.0
62,72,251,-6,AC_Slow,30.0
81,37,190,28,AC_Slow,30.0
83,74,212,-2,DC_Fast,30.0
53,53,319,3,AC_Slow,30.0
53,52,308,16,DC_Fast,30.0
41,46,243,-2,DC_Fast,30.0
94,75,219,25,AC_Slow,30.0
76,26,296,18,DC_Fast,33.92116850386334
44,49,228,9,DC_Fast,30.0
77,47,92,4,AC_Slow,30.0
84,70,29,25,DC_Fast,71.4970038408526
80,18,224,-8,AC_Slow,33.50813044659151
93,86,279,45,AC_Slow,30.0
99,84,139,42,AC_Slow,30.0
86,70,237,12,DC_Fast,30.0
53,89,70,47,AC_Slow,30.0
95,25,84,43,AC_Slow,67.80990522261564
78,11,259,35,AC_Slow,30.0
64,81,129,-2,DC_Fast,30.0
59,52,150,19,AC_Slow,30.0
41,51,107,8,DC_Fast,33.74850913565615
78,86,281,27,DC_Fast,30.0
45,66,128,-8,AC_Slow,30.0
56,76,271,39,DC_Fast,30.0
98,39,282,37,AC_Slow,30.0
64,22,115,-8,DC_Fast,31.790404359885525
96,28,317,23,AC_Slow,30.0
67,16,93,-9,AC_Slow,30.0
41,18,162,47,DC_Fast,30.0
74,63,220,16,AC_Slow,30.0
76,70,305,12,AC_Slow,30.0
44,11,40,31,DC_Fast,59.58935411676905
40,59,91,21,DC_Fast,30.0
79,84,122,36,DC_Fast,30.0
51,40,332,24,DC_Fast,30.0
95,42,186,29,DC_Fast,30.0
75,87,72,7,AC_Slow,30.0
84,89,163,16,AC_Slow,30.0
62,20,289,0,AC_Slow,30.0
86,42,168,28,DC_Fast,30.0
70,16,77,8,DC_Fast,34.402035470264025
50,40,123,14,AC_Slow,30.0
49,57,345,-4,DC_Fast,30.0
42,56,199,20,AC_Slow,30.0
93,87,93,46,AC_Slow,30.0
53,62,349,-9,DC_Fast,30.0
55,89,80,27,DC_Fast,30.0
49,28,225,-6,DC_Fast,30.0
68,15,143,3,DC_Fast,35.92678139830605
49,58,245,7,DC_Fast,30.0
51,82,158,25,DC_Fast,30.0
69,59,57,-7,AC_Slow,32.32803728032631
80,21,146,13,DC_Fast,31.111924688724567
40,32,324,2,AC_Slow,30.0
44,63,35,44,AC_Slow,34.07801947795724
59,78,227,10,AC_Slow,30.0
47,68,296,46,DC_Fast,30.0
82,45,270,22,AC_Slow,30.0
51,12,286,9,DC_Fast,30.0
40,67,280,-6,DC_Fast,30.0
96,64,48,13,DC_Fast,39.70725610695324
93,66,66,24,DC_Fast,30.0
59,26,205,19,DC_Fast,30.0
67,48,339,17,AC_Slow,30.0
96,77,13,42,DC_Fast,127.43508997425423
82,64,75,40,AC_Slow,30.0
76,54,94,34,DC_Fast,33.720238448133784
86,85,28,-4,DC_Fast,36.270448488958294
76,10,144,31,DC_Fast,32.46088566387639
51,30,320,24,AC_Slow,30.0
76,30,344,44,AC_Slow,30.0
88,61,82,19,AC_Slow,30.0
88,52,218,23,AC_Slow,30.0
95,61,20,28,DC_Fast,130.22530145299214
83,76,33,-2,DC_Fast,40.53867424227637
95,53,295,49,AC_Slow,30.0
67,41,47,42,AC_Slow,59.064339433362015
86,19,57,1,AC_Slow,81.5990566789308
54,73,280,43,AC_Slow,30.0
45,88,236,18,DC_Fast,30.0
83,78,216,-1,DC_Fast,30.0
98,77,12,16,DC_Fast,131.2459614547782
59,37,126,8,AC_Slow,34.55604337228749
89,62,46,2,AC_Slow,78.14933351952423
53,60,337,31,DC_Fast,30.0
41,62,237,26,AC_Slow,30.0
48,13,74,21,AC_Slow,33.91137587435182
76,88,20,4,AC_Slow,30.0
